Spring,2012,GUNAWARDENA A.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,121,223,0.54,9.2,2.86,2.95,2.94,2.62,3.05,2.88,3.36,2.63,2.8
Spring,2012,PLATZER A.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,121,223,0.54,9.28,3.06,3.08,3.18,2.71,3.38,3.05,3.43,2.75,2.76
Spring,2012,SAQUIB RAZAK,CS,15122,PRIN IMPRTV COMPTATN,3,Lect,13,21,0.62,11.75,4.85,4.69,4.38,4.54,4.77,4.69,4.92,4.77,4.31
Spring,2012,SAQUIB RAZAK,CS,15122,PRIN IMPRTV COMPTATN,W,Lect,11,21,0.52,11.82,4.82,4.55,4.55,4.27,4.82,4.55,5,4.73,4.36
Fall,2012,PFENNING F.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,82,154,0.53,11.31,4.25,4.23,4.33,3.88,4.31,4.24,4.49,4.17,3.98
Fall,2012,GUNAWARDENA A.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,82,154,0.53,10.89,3.42,3.3,3.36,3.16,3.2,3.22,3.74,3.28,3.52
Fall,2012,SIMMONS R.,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,79,119,0.66,9.5,4.47,4.45,4.49,3.96,4.38,4.41,4.67,4.29,4.45
Fall,2012,CORTINA T.,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,79,119,0.66,9.6,4.73,4.67,4.67,4.35,4.62,4.68,4.73,4.73,4.58
Summer,2011,WILLIAM LOVAS,CS,15122,PRIN IMPRTV COMPTATN,S,Lect,7,11,0.64,12.71,5,4.86,4.71,4.57,4.86,4.86,5,5,4.71
Spring,2011,FRANK PFENNING,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,70,116,0.60,11.22,4.23,4.24,4.29,3.69,4.41,4.24,4.49,4.07,4.1
Spring,2011,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,A,Lect,14,25,0.56,10.31,4.93,4.5,4.64,4.57,4.79,4.57,4.64,4.64,4.57
Spring,2011,WILLIAM LOVAS,CS,15122,PRIN IMPRTV COMPTATN,C,Lect,17,27,0.63,11.35,4.47,4.31,4.35,4.18,4.41,4.41,4.47,4.41,4.12
Spring,2011,ANANDA GUNAWARDENA,CS,15122,PRIN IMPRTV COMPTATN,E,Lect,12,20,0.60,9.5,3.92,3.25,3.17,3.25,3.67,3.58,4.33,3.58,3.67
Fall,2011,ANANDA GUNAWARDENA,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,104,158,0.66,10.5,3.57,2.99,3.01,2.7,3.07,2.64,4.06,2.54,2.77
Fall,2011,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,72,107,0.67,9.46,3.89,3.51,3.54,3.11,4.06,3.61,4.2,3.44,3.11
Fall,2010,FRANK PFENNING,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,59,93,0.63,10.02,4.2,4.19,4.31,3.68,4.56,4.39,4.64,4.14,4.08
Fall,2010,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,A,Lect,12,21,0.57,7.75,4.75,4.33,4.17,4.42,4.17,4.67,4.67,4.5,4.33
Fall,2010,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,B,Lect,14,23,0.61,8.43,4.71,4.29,4.29,4.5,4.21,4.71,4.79,4.57,4.21
Fall,2010,WILLIAM LOVAS,CS,15122,PRIN IMPRTV COMPTATN,C,Lect,20,30,0.67,9.8,4.9,4.65,4.65,4.55,4.5,4.8,4.95,4.65,4.5
Fall,2010,WILLIAM LOVAS,CS,15122,PRIN IMPRTV COMPTATN,D,Lect,11,19,0.58,9.91,4.82,4.27,4.27,4.55,4.36,4.73,4.91,4.36,4.27
Summer,2016,BRIAN RAILING,CS,15213,INTR CMPUTER SYSTEMS,A,Lect,12,20,0.60,17.92,4.25,3.83,4.17,3.75,4.33,3.75,4.17,3.42,4
Spring,2016,GOLDSTEIN S.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,59,119,0.50,14.51,4.2,4.39,4.46,3.76,4.47,4.38,4.26,4.2,4.21
Spring,2016,FRANCHETTI F.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,59,119,0.50,14.81,4.51,4.46,4.44,4.16,4.49,4.37,4.6,4.37,4.28
Fall,2016,Bryant R.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,76,166,0.46,14.09,4.04,4.19,4.27,3.64,4.26,4.01,4.3,3.89,4.12
Fall,2016,GIBBONS P.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,76,166,0.46,13.83,4.13,4.15,4.13,3.71,4.19,3.94,4.35,3.78,4.18
Fall,2016,KHALED HARRAS,CS,15213,INTR CMPUTER SYSTEMS,W,Lect,10,13,0.77,14.5,4.9,4.8,4.9,4.3,4.9,4.9,4.7,4.9,4.8
Summer,2015,NATHANIEL FILARDO,CS,15213,INTR CMPUTER SYSTEMS,M,Lect,7,17,0.41,18.71,5,5,4.86,4.57,4.86,4.86,5,5,4.71
Summer,2015,FILARDO N.,CS,15213,INTR CMPUTER SYSTEMS,N,Lect,1,4,0.25,8,5,5,5,3,4,5,5,5,5
Spring,2015,GOLDSTEIN S.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,36,81,0.44,13.94,4.14,4.31,4.43,3.94,4.46,4.43,4.37,4.31,4.34
Spring,2015,FRANCHETTI F.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,36,81,0.44,13.29,3.79,3.76,3.74,3.32,3.82,3.53,4.24,3.35,3.94
Spring,2015,GREGORY KESDEN,CS,15213,INTR CMPUTER SYSTEMS,2,Lect,32,54,0.59,12.06,4.16,4.34,4.31,3.47,4.16,4.13,3.34,4,3.94
Fall,2015,Bryant R.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,77,155,0.50,13.96,3.86,4.05,4.13,3.59,4.26,4.01,4.21,3.86,4.05
Fall,2015,OHALLARON D.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,77,155,0.50,14.21,4.01,4.08,4.15,3.73,4.23,4.08,4.23,3.99,4.07
Fall,2015,KHALED HARRAS,CS,15213,INTR CMPUTER SYSTEMS,W,Lect,16,20,0.80,15.69,4.63,4.69,4.87,4.25,4.94,4.88,4.56,4.81,4.81
Summer,2014,GREGORY KESDEN,CS,15213,INTR CMPUTER SYSTEMS,M,Lect,15,42,0.36,19,4.47,4.33,4.47,3.73,4.67,4.2,4.13,4.33,4.47
Summer,2014,GREGORY KESDEN,CS,15213,INTR CMPUTER SYSTEMS,N,Lect,1,3,0.33,24,5,5,5,5,5,5,5,5,5
Spring,2014,GOLDSTEIN S.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,50,93,0.54,14.94,4.16,4.26,4.26,3.76,4.22,4.18,4.26,4.14,4.28
Spring,2014,ROWE A.,CS,15213,INTR CMPUTER SYSTEMS,1,Lect,50,93,0.54,14.83,4.24,4.23,4.23,4.15,4.31,4.31,4.45,4.31,4.33
